# reltime ampl
0.000000e+00 -1.700160e-03
9.090909e-03 -1.676145e-03
1.818182e-02 -1.650901e-03
2.727273e-02 -1.620673e-03
3.636364e-02 -1.579383e-03
4.545455e-02 -1.518775e-03
5.454545e-02 -1.428558e-03
6.363636e-02 -1.296545e-03
7.272727e-02 -1.108785e-03
8.181818e-02 -8.496895e-04
9.090909e-02 -5.021583e-04
1.000000e-01 -4.769562e-05
1.090909e-01 5.334738e-04
1.181818e-01 1.262295e-03
1.272727e-01 2.160776e-03
1.363636e-01 3.251886e-03
1.454545e-01 4.559460e-03
1.545455e-01 6.108097e-03
1.636364e-01 7.923081e-03
1.727273e-01 1.003028e-02
1.818182e-01 1.245608e-02
1.909091e-01 1.522728e-02
2.000000e-01 1.837104e-02
2.090909e-01 2.191481e-02
2.181818e-01 2.588622e-02
2.272727e-01 3.031306e-02
2.363636e-01 3.522320e-02
2.454545e-01 4.064451e-02
2.545455e-01 4.660483e-02
2.636364e-01 5.313189e-02
2.727273e-01 6.025327e-02
2.818182e-01 6.799637e-02
2.909091e-01 7.638831e-02
3.000000e-01 8.545594e-02
3.090909e-01 9.522574e-02
3.181818e-01 1.057239e-01
3.272727e-01 1.169760e-01
3.363636e-01 1.290074e-01
3.454545e-01 1.418428e-01
3.545455e-01 1.555065e-01
3.636364e-01 1.700221e-01
3.727273e-01 1.854129e-01
3.818182e-01 2.017012e-01
3.909091e-01 2.189091e-01
4.000000e-01 2.370576e-01
4.090909e-01 2.561675e-01
4.181818e-01 2.762585e-01
4.272727e-01 2.973499e-01
4.363636e-01 3.194600e-01
4.454545e-01 3.426066e-01
4.545455e-01 3.668066e-01
4.636364e-01 3.920762e-01
4.727273e-01 4.184307e-01
4.818182e-01 4.458849e-01
4.909091e-01 4.744525e-01
5.000000e-01 5.041465e-01
5.090909e-01 5.349792e-01
5.181818e-01 5.669620e-01
5.272727e-01 6.001054e-01
5.363636e-01 6.344192e-01
5.454545e-01 6.699123e-01
5.545455e-01 7.065930e-01
5.636364e-01 7.444685e-01
5.727273e-01 7.835452e-01
5.818182e-01 8.238289e-01
5.909091e-01 8.653245e-01
6.000000e-01 9.080359e-01
6.090909e-01 9.519664e-01
6.181818e-01 9.971185e-01
6.272727e-01 1.043494e+00
6.363636e-01 1.091093e+00
6.454545e-01 1.139916e+00
6.545455e-01 1.189963e+00
6.636364e-01 1.241232e+00
6.727273e-01 1.293720e+00
6.818182e-01 1.347425e+00
6.909091e-01 1.402343e+00
7.000000e-01 1.458470e+00
7.090909e-01 1.515800e+00
7.181818e-01 1.574327e+00
7.272727e-01 1.634045e+00
7.363636e-01 1.694947e+00
7.454545e-01 1.757025e+00
7.545455e-01 1.820269e+00
7.636364e-01 1.884671e+00
7.727273e-01 1.950221e+00
7.818182e-01 2.016908e+00
7.909091e-01 2.084722e+00
8.000000e-01 2.153650e+00
8.090909e-01 2.223679e+00
8.181818e-01 2.294798e+00
8.272727e-01 2.366993e+00
8.363636e-01 2.440249e+00
8.454545e-01 2.514553e+00
8.545455e-01 2.589888e+00
8.636364e-01 2.666240e+00
8.727273e-01 2.743592e+00
8.818182e-01 2.821929e+00
8.909091e-01 2.901232e+00
9.000000e-01 2.981484e+00
9.090909e-01 3.062669e+00
